marker_ID,EC,Epi_basal,Epi_stratified,Epi_suprabasal,Epi_upper,Fib,Gland,IC
LCN2,0.0,0.0,0.0,0.0,2.4849066734313965,0.0,0.0,0.0
KRT78,0.0,0.0,0.0,0.0,2.397895336151123,0.0,0.0,0.0
S100P,0.0,0.0,0.0,0.0,2.397895336151123,0.0,0.0,0.0
ERO1A,0.0,0.0,0.0,0.0,2.3025851249694824,0.0,0.0,0.0
NCCRP1,0.0,0.0,0.0,0.0,2.3025851249694824,0.0,0.0,0.0
CLIC3,0.0,0.0,1.0986123085021973,0.0,2.6390573978424072,0.0,0.0,0.0
PSCA,0.0,0.0,0.0,0.0,2.1972246170043945,0.0,0.0,0.0
C15orf48,0.0,0.0,0.0,0.0,2.1972246170043945,0.0,0.0,0.0
SCEL,0.0,0.0,0.6931471824645996,0.0,2.397895336151123,0.0,0.0,0.0
SPRR2D,0.0,0.0,0.0,0.0,2.079441547393799,0.0,0.0,0.0
TMPRSS11E,0.0,0.0,0.0,0.0,2.079441547393799,0.0,0.0,0.0
HILPDA,0.0,0.0,0.0,0.0,2.1972246170043945,0.0,0.0,0.0
FAM3D,0.0,0.0,0.0,0.0,2.079441547393799,0.0,0.0,0.0
PPL,0.0,0.0,0.6931471824645996,0.0,2.3025851249694824,0.0,0.0,0.0
SPRR2E,0.0,0.0,0.6931471824645996,0.0,1.9459102153778076,0.0,0.0,0.0
CLCA4,0.0,0.0,0.0,0.0,1.9459102153778076,0.0,0.0,0.0
MXD1,0.0,0.0,0.0,0.0,1.7917594909667969,0.0,0.0,0.0
KLK13,0.0,0.0,0.0,0.0,1.9459102153778076,0.0,0.0,0.0
